food_id,food_name,category,cuisine,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,cholesterol_mg,water_g,glycemic_index,meal_type,diet_tags,allergens,is_vegan,is_vegetarian,is_halal
CX000024,Fresh Compote Apple (250G),Fruits,Global,250,154.4,1.2,36.2,0.5,6.0,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,216.8,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000025,Fresh Juice Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,0.8,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,86.7,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000026,Fresh Juice Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,1.3,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,130.1,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000027,Fresh Juice Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,1.7,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,173.4,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000028,Fresh Juice Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,2.1,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,216.8,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000029,Fresh Smoothie Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,1.9,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,86.7,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000030,Fresh Smoothie Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,2.9,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,130.1,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000031,Fresh Smoothie Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,3.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,173.4,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000032,Fresh Smoothie Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,4.8,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,216.8,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000033,Fresh Salad Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,2.5,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,87.6,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000034,Fresh Salad Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,3.8,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,131.4,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000035,Fresh Salad Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,5.0,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,175.1,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000036,Fresh Salad Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,6.3,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,218.9,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000037,Fresh Unsweetened Apple (100G),Fruits,Global,100,53.5,0.5,12.4,0.2,2.4,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,86.7,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000038,Fresh Unsweetened Apple (150G),Fruits,Global,150,80.2,0.8,18.6,0.3,3.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,130.1,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000039,Fresh Unsweetened Apple (200G),Fruits,Global,200,107.0,1.0,24.8,0.4,4.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,173.4,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000040,Fresh Unsweetened Apple (250G),Fruits,Global,250,133.7,1.2,31.1,0.5,6.0,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,216.8,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000281,Dried Whole Apple (100G),Fruits,Global,100,65.6,0.5,15.5,0.2,2.7,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.2,38.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000282,Dried Whole Apple (150G),Fruits,Global,150,98.4,0.8,23.2,0.3,4.1,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,82.9,57.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000283,Dried Whole Apple (200G),Fruits,Global,200,131.2,1.0,30.9,0.4,5.4,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,110.5,76.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000284,Dried Whole Apple (250G),Fruits,Global,250,164.1,1.2,38.6,0.5,6.8,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,138.1,95.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000285,Dried Wedges Apple (100G),Fruits,Global,100,65.6,0.5,15.5,0.2,2.5,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,54.1,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000286,Dried Wedges Apple (150G),Fruits,Global,150,98.4,0.8,23.2,0.3,3.8,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,81.2,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000287,Dried Wedges Apple (200G),Fruits,Global,200,131.2,1.0,30.9,0.4,5.0,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,108.3,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000288,Dried Wedges Apple (250G),Fruits,Global,250,164.1,1.2,38.6,0.5,6.3,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,135.4,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000297,Dried Puree Apple (100G),Fruits,Global,100,65.6,0.5,15.5,0.2,1.8,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.2,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000298,Dried Puree Apple (150G),Fruits,Global,150,98.4,0.8,23.2,0.3,2.7,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,82.9,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000299,Dried Puree Apple (200G),Fruits,Global,200,131.2,1.0,30.9,0.4,3.6,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,110.5,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000300,Dried Puree Apple (250G),Fruits,Global,250,164.1,1.2,38.6,0.5,4.5,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,138.1,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000301,Dried Compote Apple (100G),Fruits,Global,100,68.7,0.5,16.2,0.2,2.5,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.2,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000302,Dried Compote Apple (150G),Fruits,Global,150,103.1,0.8,24.3,0.3,3.8,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,82.9,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000303,Dried Compote Apple (200G),Fruits,Global,200,137.4,1.0,32.5,0.4,5.0,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,110.5,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000304,Dried Compote Apple (250G),Fruits,Global,250,171.8,1.2,40.6,0.5,6.3,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,138.1,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000305,Dried Juice Apple (100G),Fruits,Global,100,65.6,0.5,15.5,0.2,0.9,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.2,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000306,Dried Juice Apple (150G),Fruits,Global,150,98.4,0.8,23.2,0.3,1.3,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,82.9,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000307,Dried Juice Apple (200G),Fruits,Global,200,131.2,1.0,30.9,0.4,1.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,110.5,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000308,Dried Juice Apple (250G),Fruits,Global,250,164.1,1.2,38.6,0.5,2.2,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,138.1,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000309,Dried Smoothie Apple (100G),Fruits,Global,100,65.6,0.5,15.5,0.2,2.0,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.2,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000310,Dried Smoothie Apple (150G),Fruits,Global,150,98.4,0.8,23.2,0.3,3.0,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,82.9,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000311,Dried Smoothie Apple (200G),Fruits,Global,200,131.2,1.0,30.9,0.4,4.0,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,110.5,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000312,Dried Smoothie Apple (250G),Fruits,Global,250,164.1,1.2,38.6,0.5,5.0,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,138.1,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000313,Dried Salad Apple (100G),Fruits,Global,100,65.6,0.5,15.5,0.2,2.6,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.8,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000314,Dried Salad Apple (150G),Fruits,Global,150,98.4,0.8,23.2,0.3,4.0,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,83.7,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000315,Dried Salad Apple (200G),Fruits,Global,200,131.2,1.0,30.9,0.4,5.3,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,111.6,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000316,Dried Salad Apple (250G),Fruits,Global,250,164.1,1.2,38.6,0.5,6.6,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,139.5,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000317,Dried Unsweetened Apple (100G),Fruits,Global,100,59.4,0.5,13.9,0.2,2.5,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.0,0.0,0.0,0.0,55.2,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000318,Dried Unsweetened Apple (150G),Fruits,Global,150,89.2,0.8,20.9,0.3,3.8,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.0,0.0,0.0,0.0,82.9,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000319,Dried Unsweetened Apple (200G),Fruits,Global,200,118.9,1.0,27.8,0.4,5.0,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.0,0.0,0.0,0.0,110.5,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000320,Dried Unsweetened Apple (250G),Fruits,Global,250,148.6,1.2,34.8,0.5,6.3,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.0,0.0,0.0,0.0,138.1,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000321,Frozen Whole Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,2.6,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,85.0,38.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000322,Frozen Whole Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,3.9,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,127.5,57.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000323,Frozen Whole Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,5.2,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.3,0.0,0.0,0.0,170.0,76.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000324,Frozen Whole Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,6.5,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.4,0.0,0.0,0.0,212.5,95.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000325,Frozen Wedges Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,2.4,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,83.3,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000326,Frozen Wedges Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,3.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,125.0,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000327,Frozen Wedges Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,4.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.3,0.0,0.0,0.0,166.6,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000328,Frozen Wedges Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,6.0,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.4,0.0,0.0,0.0,208.2,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000337,Frozen Puree Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,1.7,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,85.0,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000338,Frozen Puree Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,2.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,127.5,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000339,Frozen Puree Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,3.5,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.3,0.0,0.0,0.0,170.0,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000340,Frozen Puree Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,4.3,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.4,0.0,0.0,0.0,212.5,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000341,Frozen Compote Apple (100G),Fruits,Global,100,61.8,0.5,14.5,0.2,2.4,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,85.0,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000342,Frozen Compote Apple (150G),Fruits,Global,150,92.6,0.8,21.7,0.3,3.6,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,127.5,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000343,Frozen Compote Apple (200G),Fruits,Global,200,123.5,1.0,29.0,0.4,4.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.3,0.0,0.0,0.0,170.0,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000344,Frozen Compote Apple (250G),Fruits,Global,250,154.4,1.2,36.2,0.5,6.0,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.4,0.0,0.0,0.0,212.5,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000345,Frozen Juice Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,0.8,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,85.0,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000346,Frozen Juice Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,1.3,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,127.5,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000347,Frozen Juice Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,1.7,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.3,0.0,0.0,0.0,170.0,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000348,Frozen Juice Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,2.1,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.4,0.0,0.0,0.0,212.5,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000349,Frozen Smoothie Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,1.9,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,85.0,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000350,Frozen Smoothie Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,2.9,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,127.5,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000351,Frozen Smoothie Apple (200G),Fruits,Global,200,118.0,1.0,27.6,0.4,3.8,0.0,0.0,2.0,300.0,12.0,0.4,10.0,22.0,0.2,6.0,16.3,0.0,0.0,0.0,170.0,80.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000352,Frozen Smoothie Apple (250G),Fruits,Global,250,147.5,1.2,34.5,0.5,4.8,0.0,0.0,2.5,375.0,15.0,0.5,12.5,27.5,0.2,7.5,20.4,0.0,0.0,0.0,212.5,100.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000353,Frozen Salad Apple (100G),Fruits,Global,100,59.0,0.5,13.8,0.2,2.5,0.0,0.0,1.0,150.0,6.0,0.2,5.0,11.0,0.1,3.0,8.2,0.0,0.0,0.0,85.8,40.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
CX000354,Frozen Salad Apple (150G),Fruits,Global,150,88.5,0.8,20.7,0.3,3.8,0.0,0.0,1.5,225.0,9.0,0.3,7.5,16.5,0.2,4.5,12.2,0.0,0.0,0.0,128.8,60.0,Snack,Vegan;Vegetarian;Gluten Free;High Fiber,,True,True,True
